division,availability,submitter,system,host_processor_model_name,host_processors_count,accelerator_model_name,accelerators_count,framework,notes,bert,dlrm,maskrcnn,minigo,resnet,ssd,rnnt,unet3d,details_url,code_url
closed,research,Inspur,NF5468M6J,Intel(R) Xeon(R) Platinum 8380,2,NVIDIA A100-PCIe-80GB,12,mxnet,,,,,,22.97638888888889,133.46213333333333,,20.9582375,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/systems/NF5468M6J.json,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/benchmarks
closed,research,Inspur,NF5468M6J,Intel(R) Xeon(R) Platinum 8380,2,NVIDIA A100-PCIe-80GB,12,pytorch,,,,36.14615555555555,,,,,,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/systems/NF5468M6J.json,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/benchmarks
closed,research,Inspur,NF5468M6J,Intel(R) Xeon(R) Platinum 8380,2,NVIDIA A100-PCIe-80GB,12,tensorflow,,,,,259.05769374999994,,,,,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/systems/NF5468M6J.json,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/benchmarks
closed,onprem,Inspur,NF5488A5,AMD EPYC 7713 64-Core Processor,2,NVIDIA A100-SXM-80GB,8,PyTorch,,18.83695625,,42.92487222222221,,,,28.758647916666668,,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/systems/NF5488A5.json,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/benchmarks
closed,onprem,Inspur,NF5488A5,AMD EPYC 7713 64-Core Processor,2,NVIDIA A100-SXM-80GB,8,hugectr,,,1.6956055555555556,,,,,,,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/systems/NF5488A5.json,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/benchmarks
closed,onprem,Inspur,NF5488A5,AMD EPYC 7713 64-Core Processor,2,NVIDIA A100-SXM-80GB,8,mxnet,,,,,,27.417883333333332,,,23.306161979166667,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/systems/NF5488A5.json,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/benchmarks
closed,onprem,Inspur,NF5488A5,AMD EPYC 7713 64-Core Processor,2,NVIDIA A100-SXM-80GB,8,tensorflow,,,,,267.0244895833333,,,,,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/systems/NF5488A5.json,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/benchmarks
closed,onprem,Inspur,NF5688M6,Intel(R) Xeon(R) Platinum 8358,2,NVIDIA A100-SXM-80GB,8,PyTorch,,17.4470875,,42.84126666666666,,,,,,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/systems/NF5688M6.json,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/benchmarks
closed,onprem,Inspur,NF5688M6,Intel(R) Xeon(R) Platinum 8358,2,NVIDIA A100-SXM-80GB,8,hugectr,,,1.6839833333333332,,,,,,,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/systems/NF5688M6.json,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/benchmarks
closed,onprem,Inspur,NF5688M6,Intel(R) Xeon(R) Platinum 8358,2,NVIDIA A100-SXM-80GB,8,mxnet,,,,,,27.22728888888889,159.15023333333332,,21.820173958333328,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/systems/NF5688M6.json,https://github.com/mlcommons/training_results_v2.0/blob/master/Inspur/benchmarks
